Date,Description,Category,Account,Amount,Type,Status
01-08-2026,Monthly Client Retainer,Income,HDFC Salary & Primary,125000,income,Completed
02-08-2026,House Rent Indiranagar,Bills & Utilities,HDFC Salary & Primary,24000,expense,Completed
03-08-2026,Swiggy & Grocery Delivery,Food & Groceries,Axis Bank Magnus Black Card,3850,expense,Completed
05-08-2026,Nippon India Nifty 50 Index SIP,Investments,HDFC Salary & Primary,20000,expense,Completed
07-08-2026,D-Mart Supermarket Household,Food & Groceries,Axis Bank Magnus Black Card,6200,expense,Completed
09-08-2026,Tata Power Electricity,Bills & Utilities,Axis Bank Magnus Black Card,2850,expense,Completed
12-08-2026,Freelance UI/UX Advisory,Income,HDFC Salary & Primary,45000,income,Completed
14-08-2026,Amazon Electronics & Accessories,Shopping & Lifestyle,Axis Bank Magnus Black Card,8400,expense,Completed
16-08-2026,JioFiber Broadband Bill,Bills & Utilities,Axis Bank Magnus Black Card,1499,expense,Completed
18-08-2026,Uber & Shell Petrol,Travel & Commute,Axis Bank Magnus Black Card,4200,expense,Completed
20-08-2026,Parag Parikh Flexi Cap SIP,Investments,HDFC Salary & Primary,15000,expense,Completed
22-08-2026,Weekend Dining & Social,Food & Groceries,Axis Bank Magnus Black Card,4500,expense,Completed
24-08-2026,AWS Cloud Dev Cluster,Bills & Utilities,Axis Bank Magnus Black Card,1840,expense,Completed
26-08-2026,Zara Apparel & Lifestyle,Shopping & Lifestyle,Axis Bank Magnus Black Card,5200,expense,Completed
28-08-2026,Fixed Deposit Quarterly Interest,Income,SBI Fixed Deposit Vault,6400,income,Completed
